caseID,Activity,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17
338,n,2,0,1,1,1,2,3,3,0,0,2,2,0,0,0,0,0
338,o,2,0,1,1,1,2,3,3,0,0,2,2,0,0,0,0,0
339,a,2,0,0,1,0,6,3,1,0,1,3,0,0,0,0,0,0
339,e,2,0,0,1,0,6,3,1,0,1,3,0,0,0,0,0,0
339,b,2,0,0,1,0,6,3,1,0,1,3,0,0,0,0,0,0
339,g,2,0,0,1,0,6,3,1,0,1,3,0,0,0,0,0,0
339,j,2,0,0,1,0,6,3,1,0,1,3,0,0,0,0,0,0
339,g,2,0,0,1,0,6,3,1,0,1,3,0,0,0,0,0,0
339,h,2,0,0,1,0,6,3,1,0,1,3,0,0,0,0,0,0
339,k,2,0,0,1,0,6,3,1,0,1,3,0,0,0,0,0,0
339,c,2,0,0,1,0,6,3,1,0,1,3,0,0,0,0,0,0
339,j,2,0,0,1,0,6,3,1,0,1,3,0,0,0,0,0,0
339,f,2,0,0,1,0,6,3,1,0,1,3,0,0,0,0,0,0
339,d,2,0,0,1,0,6,3,1,0,1,3,0,0,0,0,0,0
339,n,2,0,0,1,0,6,3,1,0,1,3,0,0,0,0,0,0
339,o,2,0,0,1,0,6,3,1,0,1,3,0,0,0,0,0,0
340,a,3,0,0,1,1,6,3,2,0,1,3,1,0,0,0,1,0
340,e,3,0,0,1,1,6,3,2,0,1,3,1,0,0,0,1,0
340,h,3,0,0,1,1,6,3,2,0,1,3,1,0,0,0,1,0
340,i,3,0,0,1,1,6,3,2,0,1,3,1,0,0,0,1,0
340,f,3,0,0,1,1,6,3,2,0,1,3,1,0,0,0,1,0
340,k,3,0,0,1,1,6,3,2,0,1,3,1,0,0,0,1,0
340,n,3,0,0,1,1,6,3,2,0,1,3,1,0,0,0,1,0
340,o,3,0,0,1,1,6,3,2,0,1,3,1,0,0,0,1,0
341,a,2,0,0,2,1,7,1,1,1,0,1,2,0,0,0,0,0
341,c,2,0,0,2,1,7,1,1,1,0,1,2,0,0,0,0,0
341,c,2,0,0,2,1,7,1,1,1,0,1,2,0,0,0,0,0
341,g,2,0,0,2,1,7,1,1,1,0,1,2,0,0,0,0,0
